CURRENCY_ID,COUNTRY_ID
AED,ARE
AFN,AFG
ALL,ALB
AMD,ARM
AOA,AGO
ARS,ARG
AUD,AUS
AUD,KIR
AUD,NRU
AUD,TUV
AZN,AZE
BAM,BIH
BBD,BRB
BDT,BGD
BGN,BGR
BHD,BHR
BIF,BDI
BND,BRN
BOB,BOL
BRL,BRA
BSD,BHS
BTN,BTN
INR,BTN
BWP,BWA
BYN,BLR
BZD,BLZ
CAD,CAN
CDF,COD
CHF,CHE
CHF,LIE
CLP,CHL
CNY,CHN
COP,COL
CRC,CRI
CUC,CUB
CUP,CUB
CVE,CPV
CZK,CZE
DJF,DJI
DKK,DNK
DOP,DOM
DZD,DZA
EGP,EGY
ERN,ERI
ETB,ETH
EUR,AND
EUR,AUT
EUR,BEL
EUR,CYP
EUR,DEU
EUR,ESP
EUR,EST
EUR,FIN
EUR,FRA
EUR,GRC
EUR,IRL
EUR,ITA
EUR,LTU
EUR,LUX
EUR,LVA
EUR,MCO
EUR,MLT
EUR,MNE
EUR,NLD
EUR,PRT
EUR,SMR
EUR,SVK
EUR,SVN
EUR,VAT
EUR,XKX
FJD,FJI
GBP,GBR
GEL,GEO
GHS,GHA
GMD,GMB
GNF,GIN
GTQ,GTM
GYD,GUY
HNL,HND
HRK,HRV
HTG,HTI
HUF,HUN
IDR,IDN
ILS,ISR
INR,IND
IQD,IRQ
IRR,IRN
ISK,ISL
JMD,JAM
JOD,JOR
JPY,JPN
KES,KEN
KGS,KGZ
KHR,KHM
KMF,COM
KPW,PRK
KRW,KOR
KWD,KWT
KZT,KAZ
LAK,LAO
LBP,LBN
LKR,LKA
LRD,LBR
LSL,LSO
LYD,LBY
MAD,MAR
MDL,MDA
MGA,MDG
MKD,MKD
MMK,MMR
MNT,MNG
MRU,MRT
MUR,MUS
MVR,MDV
MWK,MWI
MXN,MEX
MYR,MYS
MZN,MOZ
NAD,NAM
ZAR,NAM
NGN,NGA
NIO,NIC
NOK,NOR
NPR,NPL
NZD,NZL
OMR,OMN
PEN,PER
PGK,PNG
PHP,PHL
PKR,PAK
PLN,POL
PYG,PRY
QAR,QAT
RON,ROU
RSD,SRB
RSD,XKX
RUB,RUS
RWF,RWA
SAR,SAU
SBD,SLB
SCR,SYC
SDG,SDN
SEK,SWE
SGD,SGP
SLL,SLE
SOS,SOM
SRD,SUR
SSP,SSD
STN,STP
SVC,SLV
SYP,SYR
SZL,SWZ
THB,THA
TJS,TJK
TMT,TKM
TND,TUN
TOP,TON
TRY,TUR
TTD,TTO
TWD,TWN
TZS,TZA
UAH,UKR
UGX,UGA
USD,ECU
USD,FSM
USD,HTI
USD,MHL
USD,PAN
USD,PLW
USD,SLV
USD,TLS
USD,USA
UYU,URY
UZS,UZB
VER,YEM
VES,VEN
VND,VNM
VUV,VUT
WST,WSM
XAF,CAF
XAF,CMR
XAF,COG
XAF,GAB
XAF,GNQ
XAF,TCD
XCD,ATG
XCD,DMA
XCD,GRD
XCD,KNA
XCD,LCA
XCD,VCT
XOF,BEN
XOF,BFA
XOF,CIV
XOF,GNB
XOF,MLI
XOF,NER
XOF,SEN
XOF,TGO
ZAR,LSO
ZAR,ZAF
ZMW,ZMB
ZWL,ZWE
